title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent,in_balanced_dataset
Associate Business Development,"CH, , Work from home",,,,"<p>Want to build a career in IT? Free training in exchange for your time on revenue share basis</p>
<p>We are an IT startup providing Global IT services to well known organizations and are very busy due to overwhelming response. We are looking to expand and want to create a network of associates who can focus on innovative products, business development and client management areas. In exchange we will provide you assistance and training to improve your career prospects, experience working with us and a launch pad to help you succeed in your career long term.</p>
<p> </p>
<p>Some of the potential areas where we can help you are</p>
<p>1. Learning a new programming language</p>
<p>2. Learning new open source platforms e.g. Wordpress, Joomla</p>
<p>3. Exposure to building ecommerce solutions, SEO etc.</p>
<p>4. Interacting with senior decision makers in IT</p>
<p>5. IT sales and marketing</p>
<p>We are searching for peoples based in Finland, Norway, Sweden, France, Germany, Luxemburg, Switzerland, Netherlands and Belgium.</p>
<p>So, if you are living there and you are able to communicate also in English, please send your CV</p>
<p>Looking forward hearing from you.</p>",,,f,f,f,Full-time,Entry level,,Information Technology and Services,Business Development,f,f
Web Developer (Intern) ,"GR, I, Athens",,,<p>Το #URL_bb79581a561837ad604b8fc4ab629753b36407cc3bc76c42e6e46d74bb78eba2# είναι μία επαγγελματική διαδικτυακή πλατφόρμα μέσω της οποίας έρχονται σε επαφή εργοδότες και Δουλευταράδες για την εκτέλεση μιας εργασίας ή για τη σύναψη μιας νέας συνεργασίας. </p>,"<p>Το #URL_bb79581a561837ad604b8fc4ab629753b36407cc3bc76c42e6e46d74bb78eba2# αναζητεί φιλόδοξο και ταλαντούχο Web Developer για πρακτική άσκηση 2 μηνών, με προοπτικές μόνιμης απασχόλησης μετά το πέρας αυτής.</p>
<p><b>Τι είναι το #URL_bb79581a561837ad604b8fc4ab629753b36407cc3bc76c42e6e46d74bb78eba2#;<br></b><b></b></p>
<p>Το #URL_bb79581a561837ad604b8fc4ab629753b36407cc3bc76c42e6e46d74bb78eba2# είναι μία επαγγελματική διαδικτυακή πλατφόρμα μέσω της οποίας έρχονται σε επαφή εργοδότες και Δουλευταράδες για την εκτέλεση μιας εργασίας ή για τη σύναψη μιας νέας συνεργασίας. Βρίσκεται στον “αέρα” περίπου 3 μήνες, έχοντας τύχει ευρύτερης υποδοχής από εργοδότες και επαγγελματίες, καταγράφοντας εντυπωσιακή ανάπτυξη σε αριθμό μελών και εργασιών. </p>","<p><b>Απαιτούμενα</b><b></b></p>
<ul>
<li>Φοιτητής/Απόφοιτος ΑΕΙ ή ΤΕΙ Πληροφορικής.</li>
<li>Πολύ καλή γνώση/αντίληψη προγραμματισμού. </li>
<li>Καλή γνώση τεχνολογιών διαδικτύου (HTML, CSS, Javascript).</li>
<li>Κατανόηση και αντίληψη συστημάτων βάσεων δεδομένων.</li>
<li>‘Ορεξη για δουλειά, πάθος για την τεχνολογία/ανάπτυξη λογισμικού/software engineering.</li>
<li>Portfolio με παρόμοιες εργασίες/projects.</li>
</ul><p> </p>
<p><b>Θα συνεκτιμηθούν (αλλά δεν είναι απαραίτητα)</b><b></b></p>
<ul>
<li>Γνώση ανάπτυξης εφαρμογών σε Python και Django.</li>
<li>PostegreSQL.</li>
<li>Agile τεχνικές ανάπτυξης λογισμικού.</li>
</ul>","<p><b>Προνόμια</b><b></b></p>
<ul>
<li>Συμμετοχή σε μια ταχύτατα αναπτυσσόμενη start-up που έχει συγκεντρώσει ενδιαφέρον από όλη την Ελλάδα.</li>
<li>Συνεργασία με μια πολυμορφική και έμπειρη ομάδα που αποτελείται από στελέχη με διεθνή καριέρα.</li>
<li>Επιπλέον δυνατότητες απολαβών ανάλογα με την προσφορά στην ομάδα.</li>
<li>Δυνατότητα εργασίας από απόσταση.</li>
</ul>",f,t,t,Temporary,Internship,,,,f,f
English Teacher Abroad ,"CA, MB, Winnipeg",,,<p>We help teachers get safe &amp; secure jobs abroad :)</p>,"<p>Play with kids, get paid for it </p>
<p>Love travel? Jobs in Asia</p>
<p>$1,500+ USD monthly ($200 Cost of living)</p>
<p>Housing provided (Private/Furnished)<br>Airfare Reimbursed<br>Excellent for student loans/credit cards</p>
<p>Gabriel Adkins : #URL_ed9094c60184b8a4975333957f05be37e69d3cdb68decc9dd9a4242733cfd7f7#<br><a href=""#URL_4cdcff738625940a90ca5e11f07ea5d405addf2f59c1b7b3aa7513399dce4d5e#"" rel=""nofollow"" class=""external"">#URL_75db76d58f7994c7db24e8998c2fc953ab9a20ea9ac948b217693963f78d2e6b#</a></p>
<p>12 month contract : Apply today </p>","<p>University degree required. TEFL / TESOL / CELTA or teaching experience preferred but not necessary</p>
<p>Canada/US passport holders only</p>",<p>See job description</p>,f,t,t,Contract,,Bachelor's Degree,Education Management,,f,f
Infrastructure Specialist AIX/UNIX ,"PH, , Quezon City",IT,,,"<p>Infrastructure Specialist AIX/UNIX</p>
<p>Skill name <br />Support Operating System <br />Analyze System Level Performance &amp; Capacity <br />Perform Product Conversion <br />System Fixes <br />Support Web Servers <br />Analyze Specific Package Architecture Impacts <br />Advise on IT Infrastructure Management <br />Perform -AIX/UNIX  <br />Perform Plan, Implement &amp; Custmz Sys Mgmt <br />Knowledge of Asset Management <br />Knowledge of Availability Management <br />Knowledge of Capacity Management <br />Knowledge of Change Management <br />Knowledge of Configuration Management <br />Knowledge of Incident Management <br />Knowledge of Problem Management <br />Knowledge of Release Management <br />Knowledge of Security Management <br />Knowledge of Service Continuity <br />Knowledge of Service Level Management <br /> Develop Operations Functions &amp; Recovery Procedures <br /> Design Systems Management Strategy <br /> Lead Systems Management Function Improvement <br /> Use Systems Management Method or Best Practices <br /> Use Systems Management Tools</p>
<p><br />skill:- Project Coordinator, Architecture, COM, Management, AIX, Java, Change Management, PHP, J2ME, Asset Management, UNIX</p>","<p>Infrastructure Specialist AIX/UNIX</p>
<p>Skill name <br />Support Operating System <br />Analyze System Level Performance &amp; Capacity <br />Perform Product Conversion <br />System Fixes <br />Support Web Servers <br />Analyze Specific Package Architecture Impacts <br />Advise on IT Infrastructure Management <br />Perform -AIX/UNIX  <br />Perform Plan, Implement &amp; Custmz Sys Mgmt <br />Knowledge of Asset Management <br />Knowledge of Availability Management <br />Knowledge of Capacity Management <br />Knowledge of Change Management <br />Knowledge of Configuration Management <br />Knowledge of Incident Management <br />Knowledge of Problem Management <br />Knowledge of Release Management <br />Knowledge of Security Management <br />Knowledge of Service Continuity <br />Knowledge of Service Level Management <br /> Develop Operations Functions &amp; Recovery Procedures <br /> Design Systems Management Strategy <br /> Lead Systems Management Function Improvement <br /> Use Systems Management Method or Best Practices <br /> Use Systems Management Tools</p>
<p><br />skill:- Project Coordinator, Architecture, COM, Management, AIX, Java, Change Management, PHP, J2ME, Asset Management, UNIX</p>","<p>Collabera is a fast growing, end-to-end information technology services and solutions provider working with leading Global 2000 organizations from the Banking &amp; Financial Services, Telecommunications &amp; Media, Technology, Energy &amp; Utilities and Manufacturing &amp; Retail domains. Collabera delivers highly responsive and innovative solutions that help clients align their IT strategy with business goals to address the most important IT needs through a combination of consulting solutions, proprietary methodologies, assets based services and a Collaborative Engagement Model.</p>
<p>Collabera employs over 8000 professionals across more than 25 offices and 4 world-class delivery centers in the U.S., UK, India, Singapore and Philippines. We deliver a full portfolio of services that include Consulting, Application Development &amp; Management, Independent Testing Services, Enterprise Software Solutions, Product Engineering Services, Business Intelligence &amp; Data Warehousing, Mobile and Wireless, Infrastructure Management as well as Professional Services.</p>",f,f,t,,,,,,f,f
Account Manager,"US, CA, Los Angeles",sales,,,"<p><b>Account Manager</b></p>
<p>Join a growing team that combines the excitement of a startup with the stability of the biggest name in personal development!<br><br>Qualified candidates will have 3-5 years recent experience working in a Sales or Business Development type positions within the people management, learning and development or education.<br><br>The Sales and Marketing manager develops and maintains relationships with new and existing teams and individuals. Ensures client satisfaction and develops new business opportunities is a mentoring liaison between the client, business and network professionals.</p>
<p>Why ESP Outsourcing?<br><br>The ESP name represents the commitment to working side-by-side, or parallel, with educational providers. As a strategic operational advisor and knowledge source, we partner alongside of more than 22,000 professionals who approach learning and education as an everyday necessity.</p>","<p><b>Requirements</b></p>
<p>  High School Diploma</p>
<p>  Current 3-5 years working in an Sales and Marketing  type roles within national or international education.</p>
<p>  Excellent interpersonal skills</p>
<p>  Excellent oral and written communication skills</p>
<p>  Utilizes excellent customer service skills at all times</p>
<p>  Ability to multi-task and work in a team environment</p>
<p>  Experience using marketing both traditional and social media</p>
<p>      Personality, stand out in a crowd a true winner</p>
<p><br> </p>",,f,f,f,Part-time,,High School or equivalent,E-Learning,Sales,t,t
Auditor,"US, MO, St. Louis",,,"<p>We Provide Full Time Permanent Positions for many medium to large US companies. We are interested in finding/recruiting high quality candidates in IT, Engineering, Manufacturing and other highly technical and non-technical jobs.</p>","<p><b><i>(We have more than 1500+ Job openings in our website and some of them are relevant to this job. Feel free to search it in the website and apply directly. Just Click the “Apply Now” and you will redirect to our main website where you can search for the other jobs.)</i></b></p>
<p></p>
<p>#URL_94f805e93a6fa859cd8540e9767e187e295d764a384221d77f8880142b6416b7#-#URL_dbdb917780b325918ec611d0f47d6a0dff5ee871b96bc71180616d0d0570925b#</p>
<p></p>
<p>The Senior Accountant will contribute to and/or lead client engagements and will supervise the field work of junior staff accountants on assurance &amp; audit related initiatives. Client engagements will vary in size, scope and industry and may include the involvement of managers and partners.</p>
<p><b>Job Requirements:</b></p>
<ul>
<li>A strong desire for continuous learning and career advancement</li>
<li>Ability to travel regionally for client engagements as needed</li>
<li>Experience working with clients from a variety of industries</li>
</ul><p><b>Qualifications Required:</b></p>
<ul>
<li>Bachelors degree in Accounting or Finance</li>
<li>CPA certification or JD required</li>
</ul><p><b>Job Responsibilities:</b></p>
<ul>
<li>Budgeting</li>
<li>SEC Filings</li>
<li>Annual Reports</li>
</ul><p><b>Job Title: Jr. Auditor - 3 years accounting experience - Cincinnati, OH</b></p>
<p><b>Job Location: Job is in Cincinnati, OH</b></p>",,,f,f,f,Full-time,,,Accounting,,f,f
Event Staff - Live In-Stores Infomercial ,"US, NY, New York City",,,,"<p>Demonstrators that love being in front of an audience and having fun working promotional events needed. All presentations are like performing a Live In Person Infomercial.</p>
<p>We are hiring for North America's Leading Product Demonstration Company. This is not your typical Promotions company so come join a fun and dynamic company where the job never feels like work! All promotions are structured and well organized. We supply staging equipment and products to all events. We are hiring talented individuals that like talking to customers about Environmentally Friendly products and can work events throughout the greater New York City area.</p>
<ul>
<li>Flexible schedule.</li>
<li>Consistent work opportunity available.</li>
<li>Earn an average of $400-$800 per week.</li>
<li>Paid Weekly.</li>
<li>Guarantee pay per event.</li>
<li>Worldwide travel opportunities.</li>
</ul><p></p>
<p></p>
<p></p>",,,f,f,t,Full-time,Not Applicable,Unspecified,Consumer Goods,Sales,f,f
BI Practice Director,"US, TX, PLANO",,,"<p>Visual BI is one of the leading and fastest growing firms focusing exclusively on BI &amp; Analytics. Our offerings cover end-to-end BI services, industry and domain-specific solutions, custom visualization controls (SAP Dashboards and SAP Design Studio) and cloud-based analytics.<br><br>Headquartered in Plano, Texas, Visual BI has won recognition from customers for driving high-touch engagements driven by our team of platinum-level experts, an agile delivery model and innovative solutions.<br><br>Highlights:<br><br>* Ranked by CIOReview as one of the Top 100 Big Data Companies in the US<br>* Dedicated Visual BI Labs facility in San Antonio, TX, to support R&amp;D and innovations<br>* Partnerships with established vendors such as SAP, TIBCO Spotfire, Tableau and MongoDB<br>* A culture that encourages to look forward and think ahead</p>
<p><b>Mission: </b>Our Goal is to become one of the leading firms worldwide in terms of brand recall &amp; excellence in the field of Business Intelligence &amp; Analytics by driving BI adoption with our innovative analytical solutions and applications.</p>","<ul>
<li>Build Visual BI's BI Center of Excellence and BI Practice Competencies </li>
<li>Become Integral Part of Visual BI's Vision to be the Best BI Consulting and Solutions Firm </li>
<li>Execute BI Strategy by leveraging SAP BW and HANA capabilities as Enterprise Data Warehouse(EDW). </li>
<li>Provide solutions architecture oversight for new development projects in support of our client's BI program</li>
<li>Build Project Plan timelines and Ensure BI Project Executions to those timelines and budget. </li>
<li>Ensure adoption of best-in-class practices and standards for development, support, quality control and documentation</li>
<li>Work with stakeholders to analyze business requirements, and define target SAP BI/BW solution architecture and associated technical specifications &amp; implementation plan</li>
<li>Lead large cross functional teams including client staff and implementation team to accomplish successful completion of one or more solution requirements, architecture, or implementation deliverables</li>
<li>Excellent BI Thought Leadership and Content writing for Blogs and Visual BI News Letters </li>
<li>Write Detailed and Descriptive Proposals, Statement of Work (SOW), and Project Plans </li>
<li>Manage and Develop of Visual BI team of Consultants and Developers </li>
<li>Work independently with minimal supervision</li>
<li>Will be required to commit to 75% travel or relocate to client locations  </li>
</ul>","<ul>
<li>5+ Years of Experience in Managing BI Projects and Enterprise BI Architecture </li>
<li>10+ years of hands-on experience in multiple SAP BW developments</li>
<li>2+ Years of hands-on experience in HANA Modelling </li>
<li>Experience with Modeling and Architecting for Non SAP Datasources </li>
<li>Upstream Oil and Gas Industry Experience </li>
<li>75% Travel or Relocation to Client Locations </li>
<li>Business Objects Experience </li>
<li>Visualizations Tools Experience (Tableau, TIBCO Spotfire, QlikView) </li>
</ul>","<ul>
<li>Excellent Pay </li>
<li>Excellent Medical, Dental, Vision, Life, AD&amp;D, Dependent Life, Short Term and Long Term Disability Benefits</li>
<li>401(k) plan administered through employee fiduciary</li>
<li>Generous communication allowance (mobile / internet / data charges)</li>
</ul>",f,t,t,Full-time,Director,Bachelor's Degree,Information Technology and Services,Information Technology,f,f
Implementation Manager,"US, CA, Irvine",,80000-100000,"<p>Orange County Tech Recruiters is based in Orange County and focuses on finding full time technical talent for clients in California with particular emphasis on OC, LA, SF and San Diego.  </p>
<p>We are a small focused team and each of us have 20+ years in technology and technology recruiting.  Please see our LinkedIn profiles and recommendations below:</p>
<p> Robert Ardell - #URL_b6d48964c0b9b0074359c7a207623fd2360c853a418da3bfa1c6c18f79a1a6f6#</p>
<p>Jake Villarreal - #URL_8bfb8c2cfcf91aeb1253da2a322b5617a4f92bd358eb0badeefafa67450370af#</p>","<p>We are a growing and profitable software company looking to hire a full-time Implementation Manager into our Product &amp; Technology department.  We have an employee centric culture and experience very little attrition.  We have 60 employees and have been in business for 13+ years now.  We offer a generous benefits package including a no-waiting-period health insurance program.</p>
<h3>Position Summary</h3>
<p>Under the direction of the Management Team of the Products &amp; Implementation Department, the Implementation Manager will lead projects responsible for ensuring that our clients are fully and correctly implementing our products and services as well as industry best practices.  Additionally, the Implementation Manager will help to establish and maximize product and technology partnerships.</p>
<h3></h3>","<h3>Essential Functions</h3>
<ul>
<li>Lead implementation projects of all sizes for customers ranging from Fortune 500 enterprises to startup e-commerce businesses</li>
<li>Manage complete project life cycle, from post-sales to production, to ensure the full and correct implementation of all applicable products and services</li>
<li>Effectively setting and managing expectations of high profile and high demand customers</li>
<li>Act as a resource internally for all Company products</li>
<li>Work in technical environments with discussions regarding system networking, hosting environments, and/or development languages with highly technical project team members</li>
<li>Align all work to company Mission, Values and Vision</li>
<li>Ability to work independently while managing multiple projects and deliverables</li>
<li>Ability to make business critical decisions based on knowledge, experience, and judgment with some direction from management</li>
<li>Analytical skills with experience in the management and/or development of software based products and services</li>
<li>Be dedicated, reliable, details and solutions oriented</li>
<li>Must thrive in a fast-paced, dynamic and diverse environment</li>
<li>Strong interpersonal communication, organizational, and writing skills</li>
<li>Must possess the highest level of integrity, professionalism and excellence</li>
<li>Practical experience with computer programs such as Microsoft Office and project tracking tools such as Microsoft Project, AtTask, or other project tracking programs</li>
<li>3+ years of Project and/or Relationship Management with a focus on technical products and services</li>
<li>2+ years working with PCI compliance</li>
<li>Bachelors degree in Business or Information Systems a plus</li>
<li>PMP/CAPM certification a plus</li>
</ul><p>Note:  Successful applicants must submit to a pre-employment background check and drug screen</p>
<p> </p>",<p>We offer a bonus structure after one year of employment as well as a generous benefits package including a no-waiting-period health insurance program.</p>,f,f,t,Full-time,Mid-Senior level,Vocational,Information Technology and Services,Project Management,f,f
Content Architect,"US, NY, New York",IT,,"<p>ValleySoft is a fast growing global IT Services &amp; Solutions company based in Silicon Valley, USA . At ValleySoft, we strongly believe that excellence in services to Client is not a singular act, but a habit. We make earnest effort in our constant endeavor to redefine this habit and take it to the next higher level. Our long standing, time tested experience, which span across domains, is a source of strength as it helps us effectively leverage our experience to add value to our Clients' business needs and processes. Our growth has been powered by our consultative approach, our deep understanding of business and technology, our passion for innovation - and above all, our integrity.</p>","<p>• In-depth understanding of the Content Domain <br>• Experience in leading product development initiatives in the publishing space <br>• Good understanding of the education domain especially digital learning is preferable <br>• Experienced in working with Enterprise Content management systems <br>• Experienced in designing content and meta-data models <br>• Proficient in architecting and designing Content transformations, enrichment, workflows, search and analytics <br>• Experienced in working on XML based systems and solutions <br>• Good understanding of enterprise architecture, data integration , service oriented architecture and underlying infrastructure <br>• Ability to drive large transformational programs in the capacity of an architect <br>• Ability to effectively summarize and present complex technical information to cross-functional groups and senior decision-makers <br>• Lateral thinking skills <br>• Leadership skills <br>• Stakeholder management <br>• Excellent articulation skills</p>","<p>Skill Content Management ,Ontology Management,Content Enrichment<br>Location New York, NY<br>Total Experience 8 yrs.<br>Max Salary $ DOE Per Hour<br>Employment Type Direct Jobs (Full Time)<br>Domain Any</p>",,f,t,f,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,f,f
Graduates: English Teacher Overseas,"ZA, WC, Cape Town",,,<p>We help teachers get safe &amp; secure jobs abroad :)</p>,"<p><img src=""#URL_ec9a1dff9db12b7f5987cf4cae6df01a39cd3ed5bad7cdf0448958cf97610268#""></p>
<p>Play with kids, get paid for it :-)</p>
<p>Love travel? Jobs in Asia</p>
<p>$1500 USD + monthly ($200 Cost of living)</p>
<p>Housing provided<br>Airfare Reimbursed<br>Excellent for student loans/credit cards</p>
<p>Gabriel Adkins : #URL_ed9094c60184b8a4975333957f05be37e69d3cdb68decc9dd9a4242733cfd7f7#<br><a href=""#URL_75db76d58f7994c7db24e8998c2fc953ab9a20ea9ac948b217693963f78d2e6b#"" rel=""nofollow"" class=""external"">#URL_75db76d58f7994c7db24e8998c2fc953ab9a20ea9ac948b217693963f78d2e6b#</a></p>","<p>University degree required. TEFL / TESOL / CELTA or teaching experience preferred but not necessary</p>
<p>South African passport only. Please include the country code (+27) when entering your phone number on the application</p>",<p>See job description</p>,f,t,f,Contract,,Bachelor's Degree,Education Management,,f,f
Outbound Telesales Agent,"GB, NET, ",Sales,,"<p>Screach makes your whole world interactive</p>
<p>Screach is a discovery engine that opens a whole new dimension to the things you love. Whether you’re at home watching TV, out shopping, enjoying a drink with friends, or exploring a new city, Screach gives you cool new ways to make those experiences interactive, social and rewarding.</p>
<p></p>
<p><b>ScreachTV is the newest evolution of our platform &amp; </b><b>the future of in-venue entertainment</b> </p>
<p>Using ScreachTV, create your own beautiful, local, personalised, interactive TV channel that makes you money and engages with your customers to turn your screens from background noise into something useful when there is nothing of interest to show on them. Reward each and every customer with a personalised offer that keeps them in your venue longer and brings them back time and time again. When there is no live sport on the TV, don't just leave your screens turned off, make your screens work for you as finally there is something good to put on the screen.</p>","<p><b>We’re looking for aTelesales Agent to join our team…</b></p>
<p>Are you an ambitious individual with a passion for securing new business and delivering an excellent customer experience? Interactive technology company <i>Screach</i> are looking for a Telesales Agent to join our growing team in Newcastle upon Tyne….</p>
<p>What you'll be doing: </p>
<p>You will be part of the outbound sales team, responsible for making appointments for our ScreachTV sales representatives – this role will include: </p>
<p>-       Making outbound sales calls to identify new business opportunities</p>
<p>-       Presenting the product and establishing interest in the ScreachTV platform</p>
<p>-       Customer evaluation and procurement</p>
<p>-       Booking meetings for our regional sales reps</p>
<p>-       Report data and offer feedback to management</p>","<p>What you need for this position:</p>
<p>-       The ability and desire to sell</p>
<p>-       Excellent communication skills</p>
<p>-       Articulate and professional phone manner</p>
<p>-       Well organised and able to build rapport quickly</p>
<p>-       A confident and determined approach</p>
<p>-       A high degree of self-motivation, drive and resilience</p>
<p>-       The ability to work both independently and as part of a small, energetic team</p>
<p>-       The capacity to flourish in a competitive environment</p>
<p>-       The drive to reach and exceed targets</p>
<p>-       Experience in a telesales environment </p>","<p>Permanent, full time role</p>
<p>Start date - as soon as possible</p>
<p>£12,000 - £16,000 per annum, based on experience + commission</p>
<p></p>
<p><b>**Applications only open to direct candidates – STRICTLY NO AGENCIES**</b></p>",f,t,t,,,,,,f,f
Graduate Creative Developer,"GB, CMD, London",Technology,19000-19000,"<p>The Technical Team and offering at VML London has a very strong heritage dating back to the mid-nineties when the London office was founded. Back in those days we were one of the first few purely digital marketing agencies in London; and back then things were a lot more technically driven than they often are today; as such the Technology team here continues to enjoy a strong strategic influence on the work that the agency undertakes and the clients that we engage.</p>
<p>It just works.</p>
<p>Technology is brilliant when you don’t have to think about it. That’s what we strive for in our solutions. Our technology team has a strong strategic influence on the work we undertake and are involved as soon as the brief lands. They stay involved throughout strategy, creative concepting and design. Acting as important enablers, we bring new and emerging technology to the table to successfully marry the requirements of our clients with the vision of our creatives.</p>
<p>Open standards, open minds.</p>
<p>We aim to deliver the most elegant technical solution for your budget, and maintain a technology agnostic approach to development in order to achieve that. Technology can be expensive, both in terms of hard costs and costly mistakes, so we’re as careful with your money as we are with our own.   Perhaps that’s why some of our clients have been with us for over 10 years.<br> <br>When faced with a new problem our first instinct is always to see if someone else has already solved it. As such, the solutions we design are built on the rich eco-system of open source software (OSS); the proven and battle-tested kind that we know will not just do the job quickly and cost-effectively, but also robustly. Where OSS isn't appropriate we always favour solutions that are built to open standards that we know will integrate well with other technologies.</p>
<p>Strong partnerships.</p>
<p>Our work is complemented by strong partnerships with technology vendors and suppliers.   Proven over time, our established strategic relationships with many of the leaders in software, hardware and other technology solutions help ensure we’re able to continue to offer best-in-class technical solutions for our clients.</p>
<p>What we do:</p>
<ul>
<li>High availability and high performance website architecture &amp; development</li>
<li>Web content management solutions</li>
<li>Creative technology ideation</li>
<li>Content optimisation, search and analytics</li>
<li>High volume, multi-locale email campaigns</li>
<li>Mobile optimisation</li>
<li>Localisation</li>
</ul>","<p><b>Role summary:</b></p>
<p>As Graduate Creative Developer you will be able to produce rich email newsletters that are compatible across desktop and mobile devices, the ability to ‘slice’ Photoshop PSD files into HTML/CSS and image assets, and have a keen interest in keeping up with the latest interactive web user interface tricks using HTML5 and CSS3 technology.</p>
<p> </p>
<p>Designing cutting edge user experiences requires a multi disciplinary approach, with technologists working with creative design and user experience designers to stretch the envelope of what is possible with the latest web browser technology, while creating workable concepts appropriate to the scope of the audience, time and budget available.</p>
<p> </p>
<p>The increasingly complex web applications, mobile sites and applications, and digital experiences we build require novel and engaging user interfaces, and the Graduate Creative Developer will work closely with our Creative team helping to prototype novel approaches to rich email newsletters and campaign microsites for brands in the automotive, video game and travel industries.</p>","<p><b>Required Knowledge and skills:</b></p>
<ul>
<li>Mastery of production of HTML for email, and awareness of the quirks and pitfalls with various platforms.</li>
<li>Mastery of CSS2 layout techniques and how to implement and troubleshoot these across different browsers including IE6</li>
<li>Knowledge of Adobe Creative Suite, specifically Photoshop</li>
<li>Accessibility and Usability issues relating to site and email development.</li>
<li>XML, and related technologies (e.g. XSL &amp; XML Schema)</li>
<li>Excellent communication skills</li>
</ul><p> </p>
<p><b>Useful extra knowledge and skills:</b></p>
<ul>
<li>Responsive design using media queries</li>
<li>Writing code compatible with mobile phone web browsers</li>
<li>Building living user interfaces using CSS3 animation and transforms</li>
<li>One or more server side languages e.g. PHP, Python, Ruby, #URL_c5591c960537d84ff7889f414633cdbc8e7d36f3fe042a096d374e4e058388d5# (C#), Java</li>
<li>Test Driven Development</li>
<li>Facebook app specific integrations</li>
<li>Email newsletter cross-client compatibility issues</li>
</ul><p> </p>
<p><b>Key responsibilities:</b></p>
<ul>
<li>Slicing Photoshop design files into HTML and CSS</li>
<li>Ensuring compatibility with modern, legacy and mobile/tablet web browsers and email clients</li>
<li>Building interactive UI controls using JavaScript, jQuery and jQuery plugins</li>
<li>Building Rich Email messages for eCRM compatible with major email clients such as Outlook, Gmail and iPhone Mail</li>
<li>Take responsibility for technical delivery of small projects.  Take part in creative discussions and steer those discussions in the most technically appropriate direction, recommending best technical approach</li>
<li>Ensure that the project is delivered to high standards of quality in all aspects including, but not limited to code, documentation and best practices</li>
</ul><p> </p>
<p><b>Challenges of the role</b></p>
<ul>
<li>Coping with multiple, sometimes overlapping work streams</li>
<li>Bleeding edge technology changes requires a constant appetite for learning and improving</li>
</ul><p> </p>
<p><b>Key relationships:</b></p>
<p><b>Technical Director</b></p>
<p>The Graduate Creative Developer needs to communicate regularly with the Technical Director to report project progress, discuss changes and improvements to working practices and strategy for the technical team’s development.</p>
<p><b>Creative Director</b></p>
<p>The Graduate Creative Developer will cross departmental lines to build relationships with the Creative Director and their design team to allow projects to take full advantage in rapid advances in the art of what’s possible with the web browsers of today and tomorrow.</p>",,f,t,t,Full-time,Entry level,Bachelor's Degree,Marketing and Advertising,Engineering,f,f
English Teacher Abroad,"US, CO, Escondido",,,<p>We help teachers get safe &amp; secure jobs abroad :)</p>,"<p>Play with kids, get paid for it </p>
<p>Love travel? Jobs in Asia</p>
<p>$1,500+ USD monthly ($200 Cost of living)</p>
<p>Housing provided (Private/Furnished)<br>Airfare Reimbursed<br>Excellent for student loans/credit cards</p>
<p>Gabriel Adkins : #URL_ed9094c60184b8a4975333957f05be37e69d3cdb68decc9dd9a4242733cfd7f7#<br><a href=""#URL_4cdcff738625940a90ca5e11f07ea5d405addf2f59c1b7b3aa7513399dce4d5e#"" rel=""nofollow"" class=""external"">#URL_75db76d58f7994c7db24e8998c2fc953ab9a20ea9ac948b217693963f78d2e6b#</a></p>
<p>12 month contract : Apply today </p>","<p>University degree required. TEFL / TESOL / CELTA or teaching experience preferred but not necessary</p>
<p>Canada/US passport holders only</p>",<p>See job description</p>,f,t,t,Contract,,Bachelor's Degree,Education Management,,f,f
looking for sales agent with firearms parts and accessories backround,"US, FL, Orlando",sales,,,"<p>We are looking for a young energetic sales person that is willing to work on the weekends in different cities throughout florida, and in the office/warehouse during the week. We do shows on the weekend, paid hotel, and transportation, this job is super exciting, requires physical work, you must be able to lift plastic bins, set up display area. We will train, and give you all the neccessary tools needed.</p>","<p>The person must have a good knowledge of firearms, parts and accessories backround,  must speak english,(spanish not required) honest,no criminal backround, have a good reliable transpostation, willing to work weekdays and weekends.</p>",,f,f,t,,,,,,f,f
Labor & Employment Associate,"US, OH, Cleveland",,,,"<p>Cleveland area law firm seeks a labor &amp; employment associate attorney with at least 2 years of large law firm or boutique firm experience. Strong hands on litigation experience and stellar academics preferred. Don't miss this opportunity to join a top ranked management-side group of L&amp;E attorneys. For immediate consideration, please submit your resume in Word for immediate and confidential consideration. </p>",,,f,f,t,,,,,,f,f
